name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
4446-55589-635,08:19:36.04,+32:16:45.41,0.70,2.80,19.92,10.35,2.54,5.28,172.29,0.50,C
6111-56270-647,00:10:16.45,+17:58:52.16,0.56,2.28,19.63,11.77,1.67,8.75,261.03,1.23,C
5461-56018-391,14:21:40.44,+14:37:49.00,0.52,2.71,19.72,12.42,3.44,7.45,254.85,1.27,C
4208-55476-395,23:04:34.50,-00:10:58.19,0.56,2.82,19.78,8.56,1.70,2.24,184.78,0.65,C
5403-55979-51,12:35:36.97,+10:49:23.02,0.62,2.28,19.41,28.33,3.37,5.09,366.06,2.28,C
6316-56483-84,16:19:28.74,+49:20:55.93,0.29,2.76,17.95,17.19,2.89,4.23,242.92,1.38,C
4397-55921-505,02:00:25.74,-07:56:31.93,0.26,2.49,17.78,16.44,2.50,5.23,238.05,1.34,C
5648-55923-862,00:13:21.42,+11:40:39.61,0.35,2.18,18.34,20.36,2.00,5.62,223.09,1.07,C
6020-56087-977,15:04:03.74,+23:11:12.27,0.53,2.11,19.49,28.71,2.09,6.57,136.36,0.34,C
6882-56541-835,00:25:26.28,+24:09:52.86,0.61,2.52,19.70,11.06,1.47,8.85,286.31,1.45,C
8182-56993-817,09:56:48.95,+52:44:28.47,0.87,2.54,20.62,11.62,4.01,3.57,266.94,1.01,C
7096-56683-470,10:37:56.86,+60:38:17.09,0.39,2.60,18.36,14.90,1.92,9.77,210.43,0.95,C
4756-55631-615,12:45:50.73,+02:59:16.59,0.51,2.93,19.63,9.08,2.15,6.43,221.00,0.97,C
7843-56902-35,01:48:19.96,-00:10:33.67,0.69,2.15,20.79,24.74,2.10,5.89,722.85,8.15,C
3774-55244-457,11:18:51.72,-02:35:02.63,0.54,2.69,19.74,18.92,2.42,5.82,273.31,1.43,C
6194-56190-380,00:39:21.36,+19:28:02.37,0.21,2.12,17.02,65.09,1.60,6.40,181.98,0.80,C
6967-56447-801,13:07:28.63,+61:34:20.78,0.59,2.20,19.76,17.00,2.59,7.55,306.24,1.62,C
5164-56067-735,15:20:44.51,+42:02:54.13,0.54,2.69,19.53,8.43,2.07,6.27,261.33,1.30,C
11045-58485-393,01:52:23.20,+14:15:05.40,0.71,2.23,20.26,14.42,2.06,6.34,272.53,1.15,C
6805-56442-57,13:53:00.99,+56:46:36.37,0.50,2.79,19.02,12.95,1.99,3.80,159.54,0.51,C
5184-56352-669,08:55:57.19,+32:07:43.90,0.44,2.65,19.36,10.58,2.69,7.87,279.15,1.61,C
5147-55854-989,22:00:56.28,+01:29:10.52,0.60,2.31,19.60,24.86,3.19,6.55,228.54,0.91,B
4651-56008-17,11:29:16.53,+40:25:49.52,0.52,2.65,19.37,11.66,2.06,2.63,225.17,0.99,C
4614-55604-647,11:45:25.87,+33:10:16.71,0.57,2.22,19.76,14.17,2.04,3.60,185.95,0.61,C
7657-57309-701,22:45:25.63,+25:50:08.21,0.78,2.61,20.82,7.98,3.84,5.96,306.51,1.47,C
4078-55358-34,21:16:54.08,+05:24:16.12,0.23,2.67,17.83,7.03,1.71,5.03,189.10,0.87,C
7166-56602-562,23:50:03.91,-09:01:58.00,0.19,2.48,17.59,17.24,1.56,9.63,199.22,0.99,C
6018-56067-570,14:26:11.83,+28:13:58.96,0.35,2.53,18.33,10.19,2.10,2.46,365.99,2.94,C
